epoch,step,train_loss
0,49,0.012357204221189022
0,99,0.005693764425814152
0,149,0.0007091757142916322
0,199,0.0002828374272212386
0,249,0.00018611035193316638
0,299,9.409648919245228e-05
1,349,0.0001439425250282511
1,399,4.2737970943562686e-05
1,449,4.9937381845666096e-05
1,499,4.8713187425164506e-05
1,549,3.550638211891055e-05
1,599,4.31415974162519e-05
2,649,2.101774407492485e-05
2,699,2.0071009203093126e-05
2,749,2.8233225748408586e-05
2,799,9.745896022650413e-06
2,849,2.6391691790195182e-05
2,899,2.677374504855834e-05
3,949,1.3610176210931968e-05
3,999,6.843479241069872e-06
3,1049,1.5976864233380184e-05
3,1099,1.235301806445932e-05
3,1149,5.9486364989425056e-06
3,1199,5.301300461724168e-06
3,1249,6.772475899197161e-06
4,1299,6.204137207532767e-06
4,1349,6.243922143767122e-06
4,1399,1.4960665794205852e-05
4,1449,9.084562407224439e-06
4,1499,5.8753917073772755e-06
4,1549,4.76164132123813e-06
5,1599,9.583046448824462e-06
5,1649,3.5124171517963987e-06
5,1699,9.239379323844332e-06
5,1749,6.243260941118933e-06
5,1799,9.228725502907764e-06
